product_id,shop_id,order_status,sku_quantity,payment_amount,supply_amount,supply_cost,delivery_fee,ad_cost,extra_cost,order_date
100001,200006,0,389,3851100,3562300,2334000,2000,0,0,2025-08-01
100002,200001,0,212,2734800,2529700,1653600,5000,0,0,2025-08-01
100003,200002,0,129,1793100,1658600,1044900,5000,0,0,2025-08-01
100004,200003,0,153,1361700,1259600,810900,4500,0,0,2025-08-01
100005,200004,0,167,1319300,1220400,784900,4500,0,0,2025-08-01
100006,200005,0,62,985800,911900,564200,3000,0,0,2025-08-01
100007,200006,0,56,946400,875400,565600,5000,0,0,2025-08-01
100008,200001,0,118,814200,753100,472000,2000,0,0,2025-08-01
100009,200002,0,49,730100,675300,421400,2500,0,0,2025-08-01
100010,200003,0,73,730000,675200,423400,4000,0,0,2025-08-01
100011,200004,0,47,700300,647800,413600,4000,0,0,2025-08-01
100012,200005,0,50,595000,550400,350000,4000,0,0,2025-08-01
100013,200006,0,51,606900,561400,357000,4000,0,0,2025-08-01
100014,200001,0,92,542800,502100,312800,4000,0,0,2025-08-01
100015,200002,0,65,383500,354700,227500,3500,0,0,2025-08-01
100016,200003,0,49,436100,403400,259700,3500,0,0,2025-08-01
100017,200004,0,36,356400,329700,208800,4000,0,0,2025-08-01
100018,200005,0,66,455400,421200,270600,4500,0,0,2025-08-01
100019,200006,0,60,414000,383000,240000,3000,0,0,2025-08-01
100020,200001,0,64,313600,290100,179200,2000,0,0,2025-08-01
100021,200002,0,33,293700,271700,174900,5000,0,0,2025-08-01
100022,200003,0,45,310500,287200,189000,4000,0,0,2025-08-01
100023,200004,0,41,323900,299600,188600,3000,0,0,2025-08-01
100024,200005,0,40,316000,292300,184000,4000,0,0,2025-08-01
100025,200006,0,22,283800,262500,169400,2000,0,0,2025-08-01
100026,200001,0,31,306900,283900,186000,3500,0,0,2025-08-01
100027,200002,0,30,327000,302500,198000,3000,0,0,2025-08-01
100028,200003,0,43,253700,234700,146200,3000,0,0,2025-08-01
100029,200004,0,43,253700,234700,146200,2500,0,0,2025-08-01
100030,200005,0,41,282900,261700,172200,3000,0,0,2025-08-01
100031,200006,0,39,269100,248900,159900,2500,0,0,2025-08-01
100032,200001,0,29,258100,238700,153700,2000,0,0,2025-08-01
100033,200002,0,41,241900,223800,139400,2000,0,0,2025-08-01
100034,200003,0,38,224200,207400,136800,5000,0,0,2025-08-01
100035,200004,0,44,259600,240100,149600,3500,0,0,2025-08-01
100036,200005,0,32,220800,204200,128000,4000,0,0,2025-08-01
100037,200006,0,45,220500,204000,126000,2000,0,0,2025-08-01
100038,200001,0,26,205400,190000,119600,3500,0,0,2025-08-01
